Id,Label
0,5
1,8
2,4
3,8
4,4
5,2
6,2
7,8
8,8
9,3
10,4
11,3
12,7
13,4
14,4
15,8
16,2
17,7
18,6
19,9
20,1
21,9
22,1
23,7
24,8
25,7
26,9
27,8
28,5
29,1
30,7
31,2
32,4
33,3
34,0
35,7
36,0
37,7
38,0
39,6
40,8
41,3
42,4
43,9
44,2
45,1
46,8
47,7
48,1
49,7
50,5
51,8
52,8
53,0
54,6
55,2
56,4
57,5
58,0
59,2
60,9
61,7
62,7
63,6
64,4
65,9
66,7
67,4
68,7
69,7
70,5
71,6
72,1
73,8
74,0
75,8
76,7
77,3
78,7
79,1
80,8
81,1
82,7
83,1
84,0
85,3
86,6
87,5
88,1
89,2
90,1
91,6
92,3
93,0
94,2
95,7
96,7
97,5
98,8
99,4
100,0
101,1
102,3
103,7
104,4
105,6
106,7
107,0
108,7
109,4
110,5
111,1
112,5
113,2
114,0
115,7
116,7
117,1
118,9
119,5
120,8
121,2
122,5
123,8
124,9
125,0
126,3
127,4
128,3
129,5
130,6
131,3
132,5
133,0
134,8
135,6
136,0
137,9
138,3
139,6
140,7
141,4
142,9
143,3
144,7
145,9
146,3
147,3
148,5
149,7
150,9
151,7
152,0
153,9
154,1
155,4
156,6
157,1
158,8
159,9
160,4
161,2
162,5
163,5
164,8
165,0
166,8
167,1
168,5
169,2
170,5
171,7
172,7
173,8
174,4
175,0
176,4
177,1
178,7
179,3
180,6
181,6
182,3
183,8
184,6
185,6
186,9
187,1
188,7
189,0
190,1
191,6
192,8
193,5
194,9
195,3
196,6
197,4
198,6
199,8
200,9
201,7
202,9
203,2
204,7
205,1
206,2
207,1
208,4
209,4
210,3
211,5
212,4
213,0
214,7
215,1
216,5
217,1
218,9
219,2
220,1
221,5
222,7
223,2
224,5
225,1
226,8
227,7
228,1
229,1
230,2
231,9
232,4
233,7
234,0
235,5
236,1
237,7
238,1
239,8
240,2
241,5
242,1
243,8
244,3
245,1
246,7
247,9
248,4
249,9
250,6
251,2
252,0
253,1
254,0
255,5
256,7
257,8
258,2
259,9
260,6
261,1
262,9
263,4
264,6
265,9
266,6
267,3
268,1
269,0
270,9
271,5
272,7
273,0
274,1
275,2
276,5
277,7
278,2
279,8
280,8
281,5
282,7
283,2
284,9
285,3
286,0
287,4
288,4
289,8
290,6
291,0
292,9
293,3
294,6
295,3
296,9
297,4
298,4
299,0
300,5
301,3
302,2
303,5
304,2
305,9
306,0
307,3
308,2
309,9
310,2
